#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,8.492250,0.000000,0.000000,3.655677,6.512795,0.030329,18.453739
0.000000,0.000000,7.830724,0.000000,0.000000,4.278797,4.789409,0.021798,17.629643
0.000000,0.000000,7.808999,0.000000,0.000000,3.152678,5.408835,1.096010,19.163975
0.000000,0.000000,9.862367,0.000000,0.000000,3.720591,5.308862,0.015502,20.005650
0.000000,0.000000,7.653980,0.000000,0.000000,3.611766,5.452983,0.065142,19.072337
0.000000,0.000000,7.760117,0.000000,0.000000,4.250826,6.328258,0.063008,17.882555
0.000000,0.000000,7.595729,0.000000,0.000000,4.405700,5.920061,0.093294,17.880373
0.000000,0.000000,8.012497,0.000000,0.000000,4.801113,6.006215,0.018736,19.675730
0.000000,0.000000,7.943707,0.000000,0.000000,4.606390,7.191888,0.076919,19.384720
0.000000,0.000000,8.174165,0.000000,0.000000,5.416271,7.811504,0.079961,20.038333
0.000000,0.000000,7.965056,0.000000,0.000000,4.957383,7.595382,0.098941,20.999395
0.000000,0.000000,8.075416,0.000000,0.000000,4.649730,7.077385,0.023659,22.501198
0.000000,0.000000,7.296207,0.000000,0.000000,3.892097,6.874317,0.112506,21.020500
0.000000,0.000000,7.653549,0.000000,0.000000,5.701590,6.600070,0.101926,21.117260
0.000000,0.000000,8.506364,0.000000,0.000000,5.765877,7.434095,0.023229,21.147849
0.000000,0.000000,7.832124,0.000000,0.000000,4.999260,7.924976,0.074539,21.386378
0.000000,0.000000,8.157229,0.000000,0.000000,4.898045,6.547410,0.050351,22.506236
0.000000,0.000000,8.240633,0.000000,0.000000,4.815914,6.858320,0.100760,22.372275
0.000000,0.000000,8.803547,0.000000,0.000000,4.155539,7.056007,0.022345,21.470283
0.000000,0.000000,7.949532,0.000000,0.000000,4.666873,7.198858,0.074017,20.760161
0.000000,0.000000,7.353753,0.000000,0.000000,4.387416,6.186984,0.073654,19.702505
0.000000,0.000000,7.311305,0.000000,0.000000,4.930734,6.114643,0.097265,20.368745
0.000000,0.000000,7.409627,0.000000,0.000000,5.565740,5.920813,0.020807,19.200025
0.000000,0.000000,7.466449,0.000000,0.000000,4.640253,6.098198,0.025006,19.681180
0.000000,0.000000,7.457230,0.000000,0.000000,4.270668,6.067887,0.065316,20.042922
0.000000,0.000000,10.885917,0.000000,0.000000,4.247971,5.995172,0.022490,22.855138
0.000000,0.000000,7.336475,0.000000,0.000000,4.088478,5.805540,0.025409,18.774147
0.000000,0.000000,7.746535,0.000000,0.000000,3.729746,6.054108,0.064819,19.086985
0.000000,0.000000,7.344719,0.000000,0.000000,5.712931,6.410504,0.020335,18.357243
0.000000,0.000000,9.323790,0.000000,0.000000,4.087372,8.940220,0.038877,20.195671
0.000000,0.000000,7.273084,0.000000,0.000000,5.095385,7.405610,0.039596,20.489650
0.000000,0.000000,7.225913,0.000000,0.000000,4.930723,7.125014,0.031132,21.393450
0.000000,0.000000,7.268866,0.000000,0.000000,5.442215,5.541746,0.064657,21.135715
0.000000,0.000000,7.112669,0.000000,0.000000,4.942779,5.994879,0.020619,20.591952
0.000000,0.000000,7.110216,0.000000,0.000000,4.387573,7.236570,0.025891,19.142104
0.000000,0.000000,7.449798,0.000000,0.000000,4.452664,6.217002,0.030912,19.425810
0.000000,0.000000,7.186935,0.000000,0.000000,4.363736,7.111023,0.018299,19.894017
0.000000,0.000000,7.420951,0.000000,0.000000,4.496169,6.666655,0.018350,19.254121
0.000000,0.000000,7.182968,0.000000,0.000000,4.495267,6.841418,0.018231,19.679661
0.000000,0.000000,7.268484,0.000000,0.000000,4.747510,6.149794,0.018142,19.422123
